Energy Use Record Name,Carbon Footprint Name,Record Type,Traveler Full Name,Report Start Date,Carbon Inventory Date,Segment Distance,Emission Factors - Scope 3,Organization Asset,Vendor Name,Cost Center
AT-FY21-AMER-1001,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",1/2/20,4/15/21,792.4,Air Travel Factors,Business Travel FY21 - LATAM,United Airlines,AMER Sales 
AT-FY21-AMER-1002,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",1/3/20,4/15/21,804.6,Air Travel Factors,Business Travel FY21 - ME,United Airlines,EMEA Operations
AT-FY21-AMER-1003,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",1/4/20,4/15/21,816.8,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,Product Marketing
AT-FY21-AMER-1004,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",1/5/20,4/15/21,829,Air Travel Factors,Business Travel FY21 - AMER,Delta Airlines,LATAM Sales
AT-FY21-AMER-1005,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",1/6/20,4/15/21,841.2,Air Travel Factors,Business Travel FY21 - AMER,Delta Airlines,General COO
AT-FY21-AMER-1006,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",1/7/20,4/15/21,853.4,Air Travel Factors,Business Travel FY21 - LATAM,British Airways,General COO
AT-FY21-AMER-1007,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",1/8/20,4/15/21,865.6,Air Travel Factors,Business Travel FY21 - LATAM,KLM,EMEA Sales
AT-FY21-AMER-1008,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",1/9/20,4/15/21,877.8,Air Travel Factors,Business Travel FY21 - ME,United Airlines,AMER Sales 
AT-FY21-AMER-1009,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",1/10/20,4/15/21,890,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,EMEA Operations
AT-FY21-AMER-1010,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",1/11/20,4/15/21,902.2,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,Product Marketing
AT-FY21-AMER-1011,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",1/12/20,4/15/21,914.4,Air Travel Factors,Business Travel FY21 - AMER,Delta Airlines,LATAM Sales
