Energy Use Record Name,Carbon Footprint Name,Traveler Full Name,Rental Car Company Name,Rental Car Company Code,Record Type,Carbon Inventory Date,Report Start Date,Report End Date,Cost Center,Organization Asset,Vendor Name,Expense Type,Vendor-provided emissions (tCO2e),Emission Factors - Scope 3,Distance Unit ,Trip Distance
Rental Car - FY20 - RecID 2101,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,1/2/19,1/3/19,AMER Sales,Business Travel FY20 - SA,Avis,Rental Car,0.19653398,Rental Car - Full Size class,Miles,
Rental Car - FY20 - RecID 2102,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,1/3/19,1/4/19,EMEA Operations,Business Travel FY20 - AMER,Avis,Rental Car,0.039882941,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2103,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,1/4/19,1/5/19,Product Marketing,Business Travel FY20 - ANZ,Avis,Rental Car,0.086028146,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2104,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,1/5/19,1/6/19,LATAM Sales,Business Travel FY20 - SA,Hertz,Rental Car,0.029305386,Rental Car - Compact class,Miles,
Rental Car - FY20 - RecID 2105,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,1/6/19,1/7/19,General COO,Business Travel FY20 - SA,Hertz,Rental Car,0.181590551,Rental Car - Full Size class,Miles,
Rental Car - FY20 - RecID 2106,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,1/7/19,1/8/19,General COO,Business Travel FY20 - AMER,Enterprise,Rental Car,0.197528707,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2107,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,1/8/19,1/9/19,General COO,Business Travel FY20 - ANZ,Avis,Rental Car,0.16627179,Rental Car - Compact class,Miles,
Rental Car - FY20 - RecID 2108,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,1/9/19,1/10/19,AMER Sales,Business Travel FY20 - SA,Avis,Rental Car,0.167245891,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2109,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,1/10/19,1/11/19,EMEA Operations,Business Travel FY20 - SA,Avis,Rental Car,0.121394111,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2110,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,1/11/19,1/12/19,AMER Sales,Business Travel FY20 - AMER,Hertz,Rental Car,0.057705648,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2111,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,1/12/19,1/13/19,EMEA Operations,Business Travel FY20 - ANZ,Hertz,Rental Car,0.159115467,Rental Car - Minivan class,Miles,
Rental Car - FY20 - RecID 2112,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,1/13/19,1/14/19,AMER Sales,Business Travel FY20 - AMER,Enterprise,Rental Car,0.044682726,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2113,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,1/14/19,1/15/19,EMEA Operations,Business Travel FY20 - ANZ,Avis,Rental Car,0.104552355,Rental Car - Full Size class,Miles,
Rental Car - FY20 - RecID 2114,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,1/15/19,1/16/19,AMER Sales,Business Travel FY20 - SA,Avis,Rental Car,0.138941458,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2115,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,1/16/19,1/17/19,EMEA Operations,Business Travel FY20 - SA,Avis,Rental Car,0.080335681,Rental Car - Full Size class,Miles,
Rental Car - FY20 - RecID 2116,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,1/17/19,1/19/19,Product Marketing,Business Travel FY20 - AMER,Hertz,Rental Car,0.207869431,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2117,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,1/19/19,1/20/19,LATAM Sales,Business Travel FY20 - ANZ,Hertz,Rental Car,0.011880349,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2118,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,1/20/19,1/21/19,General COO,Business Travel FY20 - SA,Enterprise,Rental Car,0.201365005,Rental Car - Minivan class,Miles,
