Energy Use Record Name,Carbon Footprint Name,Record Type,Traveler Full Name,Report Start Date,Carbon Inventory Date,Segment Distance (Miles),Emission Factors - Scope 3,Organization Asset,Vendor Name,Cost Center
AT-FY20-AMER-1001,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/2/19,4/15/20,792.4,Scope 3 Travel Factors,Business Travel FY20 - LATAM,United Airlines,AMER Sales 
AT-FY20-AMER-1002,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/3/19,4/15/20,804.6,Scope 3 Travel Factors,Business Travel FY20 - ME,United Airlines,EMEA Operations
AT-FY20-AMER-1003,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/4/19,4/15/20,816.8,Scope 3 Travel Factors,Business Travel FY20 - AMER,United Airlines,Product Marketing
AT-FY20-AMER-1004,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/5/19,4/15/20,829,Scope 3 Travel Factors,Business Travel FY20 - AMER,Delta Airlines,LATAM Sales
AT-FY20-AMER-1005,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/6/19,4/15/20,841.2,Scope 3 Travel Factors,Business Travel FY20 - AMER,Delta Airlines,General COO
AT-FY20-AMER-1006,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/7/19,4/15/20,853.4,Scope 3 Travel Factors,Business Travel FY20 - LATAM,British Airways,General COO
AT-FY20-AMER-1007,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/8/19,4/15/20,865.6,Scope 3 Travel Factors,Business Travel FY20 - LATAM,KLM,EMEA Sales
AT-FY20-AMER-1008,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/9/19,4/15/20,877.8,Scope 3 Travel Factors,Business Travel FY20 - ME,United Airlines,AMER Sales 
AT-FY20-AMER-1009,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/10/19,4/15/20,890,Scope 3 Travel Factors,Business Travel FY20 - AMER,United Airlines,EMEA Operations
AT-FY20-AMER-1010,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/11/19,4/15/20,902.2,Scope 3 Travel Factors,Business Travel FY20 - AMER,United Airlines,Product Marketing
AT-FY20-AMER-1011,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/12/19,4/15/20,914.4,Scope 3 Travel Factors,Business Travel FY20 - AMER,Delta Airlines,LATAM Sales
AT-FY20-AMER-1012,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/13/19,4/15/20,926.6,Scope 3 Travel Factors,Business Travel FY20 - LATAM,Delta Airlines,General COO
AT-FY20-AMER-1013,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/14/19,4/15/20,938.8,Scope 3 Travel Factors,Business Travel FY20 - LATAM,British Airways,General COO
AT-FY20-AMER-1014,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/15/19,4/15/20,951,Scope 3 Travel Factors,Business Travel FY20 - ME,KLM,EMEA Sales
AT-FY20-AMER-1015,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/16/19,4/15/20,963.2,Scope 3 Travel Factors,Business Travel FY20 - AMER,United Airlines,AMER Sales 
AT-FY20-AMER-1016,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/17/19,4/15/20,975.4,Scope 3 Travel Factors,Business Travel FY20 - AMER,United Airlines,EMEA Operations
AT-FY20-AMER-1017,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/18/19,4/15/20,987.6,Scope 3 Travel Factors,Business Travel FY20 - AMER,United Airlines,Product Marketing
AT-FY20-AMER-1018,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/19/19,4/15/20,999.8,Scope 3 Travel Factors,Business Travel FY20 - LATAM,Delta Airlines,LATAM Sales
AT-FY20-AMER-1019,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/20/19,4/15/20,1012,Scope 3 Travel Factors,Business Travel FY20 - LATAM,Delta Airlines,General COO
AT-FY20-AMER-1020,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/21/19,4/15/20,1024.2,Scope 3 Travel Factors,Business Travel FY20 - ME,British Airways,General COO
AT-FY20-AMER-1021,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/22/19,4/15/20,1036.4,Scope 3 Travel Factors,Business Travel FY20 - AMER,KLM,EMEA Sales
